"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30011209",4.2855554603052e-21,0.47475037787246,0.137,0.055,1.18555606253883e-16,"Secretory","SMED30011209"
"SMED30034396.4",4.64507240935589e-21,0.460485855547591,0.259,0.137,1.28501283132421e-16,"Secretory","SMED30034396"
"SMED30035242.2",4.74680198327609e-21,-0.515181301542784,0.216,0.394,1.3131553006535e-16,"Secretory","SMED30035242"
"SMED30012686",5.13293796389823e-21,0.310751462842167,0.146,0.059,1.41997595833281e-16,"Secretory","SMED30012686"
"SMED30021335.5",5.15627209300206e-21,-0.657088164654643,0.023,0.139,1.42643111180809e-16,"Secretory","SMED30021335"
"SMED30024514.4",5.78778753468382e-21,-0.481921114696077,0.057,0.192,1.60113354359493e-16,"Secretory","SMED30024514"
"SMED30021209.2",5.99574576728503e-21,-0.5959017072558,0.111,0.257,1.65866310906173e-16,"Secretory","SMED30021209"
"SMED30010906.7",6.15676607614654e-21,-0.386863700032256,0.138,0.305,1.70320776730518e-16,"Secretory","SMED30010906"
"SMED30005207.7",7.09495749526855e-21,0.432104585414468,0.31,0.175,1.96274904149109e-16,"Secretory","SMED30005207"
"SMED30013784",7.86228513293567e-21,0.398110073518637,0.108,0.038,2.17502255917532e-16,"Secretory","SMED30013784"
"SMED30022184.3",8.26579273948957e-21,0.48252205457774,0.492,0.355,2.2866489034524e-16,"Secretory","SMED30022184"
"SMED30034853.5",8.59126514813068e-21,-0.713905633601176,0.014,0.124,2.37668759057887e-16,"Secretory","SMED30034853"
"SMED30017146.4",8.87997605561395e-21,-0.401526943942398,0.08,0.225,2.45655657602504e-16,"Secretory","SMED30017146"
"SMED30005552.6",8.93710323013213e-21,-1.33166632199096,0.072,0.208,2.47236023758375e-16,"Secretory","SMED30005552"
"SMED30030077.3",9.70889591136118e-21,-0.41631256970677,0.273,0.454,2.68586896491896e-16,"Secretory","SMED30030077"
"SMED30033797.3",1.03955648267727e-20,-0.342520366493801,0.04,0.168,2.8758290536784e-16,"Secretory","SMED30033797"
"SMED30019743.7",1.08020386639911e-20,-0.599247310158821,0.011,0.119,2.98827597600651e-16,"Secretory","SMED30019743"
"SMED30029695.3",1.09745160290751e-20,-0.441093800122603,0.019,0.133,3.03599011428334e-16,"Secretory","SMED30029695"
"SMED30035904.7",1.19587964679006e-20,-2.94607848357621,0.057,0.184,3.30828145488003e-16,"Secretory","SMED30035904"
"SMED30032258.6",1.21357319479175e-20,-0.350583900248966,0.057,0.191,3.35722888607191e-16,"Secretory","SMED30032258"
"SMED30011419.7",1.2889527214652e-20,-2.75651414332692,0.031,0.149,3.56575880866134e-16,"Secretory","SMED30011419"
"SMED30034893.4",1.34463235810385e-20,-0.914068001348914,0.134,0.283,3.71979095545849e-16,"Secretory","SMED30034893"
"SMED30026540.2",1.44886602183606e-20,0.577047175175033,0.407,0.278,4.00814296280728e-16,"Secretory","SMED30026540"
"SMED30003249.5",1.64224030799917e-20,-0.453097595197145,0.489,0.632,4.54309358804891e-16,"Secretory","SMED30003249"
"SMED30009284.6",2.14036457597456e-20,-0.356078916974894,0.808,0.828,5.92110456297603e-16,"Secretory","SMED30009284"
"SMED30028665.5",2.22198161512323e-20,-0.322119230147305,0.026,0.143,6.1468899400769e-16,"Secretory","SMED30028665"
"SMED30008671.1",2.22807334339974e-20,0.33802778420312,0.119,0.044,6.16374209718103e-16,"Secretory","SMED30008671"
"SMED30023805",2.25373776329165e-20,0.826325513552267,0.279,0.167,6.23474014837001e-16,"Secretory","SMED30023805"
"SMED30002454.3",2.40407168489345e-20,0.4734730579134,0.632,0.525,6.65062390908923e-16,"Secretory","SMED30002454"
