"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30007406",0,2.88834114677805,0.996,0.392,0,"Neoblast","SMED30007406"
"SMED30033565",0,2.54218810547005,0.935,0.1,0,"Neoblast","SMED30033565"
"SMED30031463",0,2.38013997842543,0.96,0.419,0,"Neoblast","SMED30031463"
"SMED30010297",0,2.26747058990825,0.897,0.077,0,"Neoblast","SMED30010297"
"SMED30030234",0,2.25813328172434,0.939,0.337,0,"Neoblast","SMED30030234"
"SMED30021808",0,2.23764868910116,0.874,0.081,0,"Neoblast","SMED30021808"
"SMED30022444",0,2.07120803773253,0.945,0.35,0,"Neoblast","SMED30022444"
"SMED30032563",0,1.97293631701491,0.845,0.067,0,"Neoblast","SMED30032563"
"SMED30029973",0,1.95328333705502,0.89,0.182,0,"Neoblast","SMED30029973"
"SMED30019803",0,1.90005233896243,0.999,0.767,0,"Neoblast","SMED30019803"
"SMED30004304",0,1.82615178853643,0.837,0.061,0,"Neoblast","SMED30004304"
"SMED30002436",0,1.79537472349602,0.843,0.058,0,"Neoblast","SMED30002436"
"SMED30030946",0,1.79326878579386,0.805,0.036,0,"Neoblast","SMED30030946"
"SMED30027562",0,1.73382036113918,0.934,0.436,0,"Neoblast","SMED30027562"
"SMED30012293",0,1.72726359142434,0.963,0.444,0,"Neoblast","SMED30012293"
"SMED30010115",0,1.72432185987285,0.933,0.219,0,"Neoblast","SMED30010115"
"SMED30023062",0,1.71649097320636,0.954,0.416,0,"Neoblast","SMED30023062"
"SMED30025780",0,1.67702270909178,0.905,0.168,0,"Neoblast","SMED30025780"
"SMED30032645",0,1.67599180979685,0.972,0.534,0,"Neoblast","SMED30032645"
"SMED30017680",0,1.64712730168082,0.765,0.048,0,"Neoblast","SMED30017680"
"SMED30006979",0,1.64341677474264,0.764,0.047,0,"Neoblast","SMED30006979"
"SMED30033600",0,1.63772130655144,0.771,0.048,0,"Neoblast","SMED30033600"
"SMED30019011",0,1.63718724487232,0.817,0.073,0,"Neoblast","SMED30019011"
"SMED30004593",0,1.56762550155442,0.783,0.049,0,"Neoblast","SMED30004593"
"SMED30033663",0,1.56556922859261,0.79,0.054,0,"Neoblast","SMED30033663"
"SMED30035193",0,1.55999631690602,0.999,0.949,0,"Neoblast","SMED30035193"
"SMED30012458",0,1.55961859948561,0.771,0.05,0,"Neoblast","SMED30012458"
"SMED30034520",0,1.55948116568427,0.834,0.086,0,"Neoblast","SMED30034520"
"SMED30014394",0,1.55869587220282,0.771,0.041,0,"Neoblast","SMED30014394"
"SMED30030295",0,1.53768413540066,0.824,0.077,0,"Neoblast","SMED30030295"
"SMED30022978",0,1.53502116937841,0.926,0.366,0,"Neoblast","SMED30022978"
"SMED30015686",0,1.5052302535826,0.903,0.246,0,"Neoblast","SMED30015686"
"SMED30028420",0,1.4920671978371,0.856,0.228,0,"Neoblast","SMED30028420"
"SMED30029741",0,1.48205451197812,0.953,0.455,0,"Neoblast","SMED30029741"
"SMED30009016",0,1.47617638245587,0.823,0.158,0,"Neoblast","SMED30009016"
"SMED30012735",0,1.46707255606154,0.744,0.046,0,"Neoblast","SMED30012735"
"SMED30018987",0,1.46145716028901,0.732,0.029,0,"Neoblast","SMED30018987"
"SMED30014446",0,1.46077606247816,0.999,0.906,0,"Neoblast","SMED30014446"
"SMED30031782",0,1.44713335236412,0.861,0.149,0,"Neoblast","SMED30031782"
"SMED30027258",0,1.43888548438813,0.889,0.257,0,"Neoblast","SMED30027258"
"SMED30013909",0,1.4336925372072,0.96,0.522,0,"Neoblast","SMED30013909"
"SMED30023821",0,1.43237686875676,0.725,0.046,0,"Neoblast","SMED30023821"
"SMED30001485",0,1.42655803626927,0.88,0.285,0,"Neoblast","SMED30001485"
"SMED30021461",0,1.40039643498751,0.927,0.304,0,"Neoblast","SMED30021461"
"SMED30003764",0,1.38864830779046,0.946,0.342,0,"Neoblast","SMED30003764"
"SMED30004136",0,1.36634554932276,0.76,0.069,0,"Neoblast","SMED30004136"
"SMED30006065",0,1.35988267165345,0.692,0.032,0,"Neoblast","SMED30006065"
"SMED30018716",0,1.34962499224829,0.926,0.353,0,"Neoblast","SMED30018716"
"SMED30014813",0,1.34855925314583,0.985,0.578,0,"Neoblast","SMED30014813"
"SMED30023035",0,1.34337936435222,0.702,0.048,0,"Neoblast","SMED30023035"
"SMED30025981",0,1.33016707269383,0.715,0.05,0,"Neoblast","SMED30025981"
"SMED30009032",0,1.32804484959393,0.81,0.153,0,"Neoblast","SMED30009032"
"SMED30014447",0,1.32681994107927,0.815,0.161,0,"Neoblast","SMED30014447"
"SMED30005932",0,1.32174026744748,0.887,0.303,0,"Neoblast","SMED30005932"
"SMED30021509",0,1.31730069663028,0.774,0.103,0,"Neoblast","SMED30021509"
"SMED30019097",0,1.31333914357475,0.664,0.124,0,"Neoblast","SMED30019097"
"SMED30031929",0,1.30227911697317,0.899,0.326,0,"Neoblast","SMED30031929"
"SMED30005246",0,1.29122296363816,0.729,0.047,0,"Neoblast","SMED30005246"
"SMED30012240",0,1.28797543230797,0.979,0.656,0,"Neoblast","SMED30012240"
"SMED30027566",0,1.27316422822584,0.696,0.039,0,"Neoblast","SMED30027566"
"SMED30027419",0,1.27219793375357,0.623,0.02,0,"Neoblast","SMED30027419"
"SMED30026659",0,1.26465932079092,0.68,0.06,0,"Neoblast","SMED30026659"
"SMED30031380",0,1.25113196322025,0.939,0.41,0,"Neoblast","SMED30031380"
"SMED30034422",0,1.24380412242027,0.675,0.053,0,"Neoblast","SMED30034422"
"SMED30033785",0,1.23264087949348,0.987,0.699,0,"Neoblast","SMED30033785"
"SMED30010906",0,1.2182239885549,0.758,0.121,0,"Neoblast","SMED30010906"
"SMED30002703",0,1.21509819845901,0.996,0.798,0,"Neoblast","SMED30002703"
"SMED30016021",0,1.20022043766848,0.752,0.095,0,"Neoblast","SMED30016021"
"SMED30026445",0,1.19167072467823,0.691,0.181,0,"Neoblast","SMED30026445"
"SMED30027770",0,1.17133281169298,0.793,0.166,0,"Neoblast","SMED30027770"
"SMED30036024",0,1.16408442427215,0.702,0.058,0,"Neoblast","SMED30036024"
"SMED30017135",0,1.1600571589942,0.925,0.478,0,"Neoblast","SMED30017135"
"SMED30016975",0,1.15007254612896,0.745,0.152,0,"Neoblast","SMED30016975"
"SMED30027407",0,1.15000608876041,0.972,0.739,0,"Neoblast","SMED30027407"
"SMED30013268",0,1.14625233548714,0.654,0.028,0,"Neoblast","SMED30013268"
"SMED30029634",0,1.14480559580335,0.658,0.04,0,"Neoblast","SMED30029634"
"SMED30029203",0,1.14456808617254,0.802,0.173,0,"Neoblast","SMED30029203"
"SMED30034617",0,1.13490828187277,0.869,0.367,0,"Neoblast","SMED30034617"
"SMED30027482",0,1.11692268668206,0.868,0.299,0,"Neoblast","SMED30027482"
"SMED30009415",0,1.1106555225864,0.631,0.037,0,"Neoblast","SMED30009415"
"SMED30001362",0,1.10875181957788,0.998,0.787,0,"Neoblast","SMED30001362"
"SMED30025522",0,1.10552912574806,0.994,0.839,0,"Neoblast","SMED30025522"
"SMED30005802",0,1.10496380672023,0.797,0.264,0,"Neoblast","SMED30005802"
"SMED30007343",0,1.10203985623256,0.826,0.259,0,"Neoblast","SMED30007343"
"SMED30030198",0,1.09721798305743,0.923,0.379,0,"Neoblast","SMED30030198"
"SMED30008579",0,1.09071110592031,0.954,0.618,0,"Neoblast","SMED30008579"
"SMED30021402",0,1.08871301012904,0.614,0.026,0,"Neoblast","SMED30021402"
"SMED30014560",0,1.0828787541276,0.964,0.659,0,"Neoblast","SMED30014560"
"SMED30018579",0,1.08155032341033,0.615,0.031,0,"Neoblast","SMED30018579"
"SMED30026367",0,1.08064479330758,0.932,0.508,0,"Neoblast","SMED30026367"
"SMED30022404",0,1.07903988049446,0.765,0.155,0,"Neoblast","SMED30022404"
"SMED30014136",0,1.07041710409935,0.597,0.029,0,"Neoblast","SMED30014136"
"SMED30003593",0,1.06883541615102,0.927,0.469,0,"Neoblast","SMED30003593"
"SMED30034279",0,1.06199863499415,0.837,0.193,0,"Neoblast","SMED30034279"
"SMED30005171",0,1.05830092275677,0.999,0.928,0,"Neoblast","SMED30005171"
"SMED30009035",0,1.05702432073963,0.959,0.626,0,"Neoblast","SMED30009035"
"SMED30020057",0,1.05533025084946,0.855,0.279,0,"Neoblast","SMED30020057"
"SMED30013237",0,1.04990798060433,0.623,0.041,0,"Neoblast","SMED30013237"
"SMED30003006",0,1.04929570578985,0.724,0.128,0,"Neoblast","SMED30003006"
"SMED30010227",0,1.0492261026672,0.934,0.527,0,"Neoblast","SMED30010227"
"SMED30030543",0,1.04919369649619,0.614,0.045,0,"Neoblast","SMED30030543"
"SMED30005428",0,1.03796354442504,0.927,0.456,0,"Neoblast","SMED30005428"
"SMED30024887",0,1.03044085900602,0.972,0.683,0,"Neoblast","SMED30024887"
"SMED30023430",0,1.02396145857825,0.989,0.714,0,"Neoblast","SMED30023430"
"SMED30002877",0,1.02354106589165,0.61,0.091,0,"Neoblast","SMED30002877"
"SMED30024600",0,1.01370775474657,0.947,0.51,0,"Neoblast","SMED30024600"
"SMED30010074",0,1.01179013898156,0.843,0.31,0,"Neoblast","SMED30010074"
