"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30001237.3",1.83082008504562e-97,1.38488541590945,0.25,0.077,5.0647806832702e-93,"Neuronal","SMED30001237"
"SMED30030988.2",1.83621265654803e-97,-0.6360261704525,0.487,0.827,5.07969869307446e-93,"Neuronal","SMED30030988"
"SMED30021699.2",2.12587090302848e-97,-0.618200736841203,0.53,0.846,5.881009266138e-93,"Neuronal","SMED30021699"
"SMED30012055.2",2.58449530235257e-97,-0.600586978136394,0.14,0.479,7.14974780442815e-93,"Neuronal","SMED30012055"
"SMED30012643.3",3.03400228111989e-97,-0.583241795992401,0.645,0.887,8.39326391049006e-93,"Neuronal","SMED30012643"
"SMED30034290.1",5.25789048944544e-97,-0.660831210435918,0.494,0.811,1.45454282500019e-92,"Neuronal","SMED30034290"
"SMED30035468",5.6225624599455e-97,1.03130414387062,0.113,0.013,1.55542567891932e-92,"Neuronal","SMED30035468"
"SMED30018830.3",6.91098093837486e-97,1.09028304987693,0.342,0.143,1.91185376679202e-92,"Neuronal","SMED30018830"
"SMED30002081.1",9.00728387374663e-97,-0.767803182592618,0.025,0.288,2.49177501083327e-92,"Neuronal","SMED30002081"
"SMED30021698.2",1.20894553657779e-96,-0.553992080864194,0.783,0.954,3.3444269323888e-92,"Neuronal","SMED30021698"
"SMED30022978.4",1.53461345942721e-96,-0.94081562532935,0.253,0.572,4.24535467415945e-92,"Neuronal","SMED30022978"
"SMED30014519.2",2.17941642260146e-96,0.790132408739338,0.803,0.793,6.02913759148469e-92,"Neuronal","SMED30014519"
"SMED30011818.1",2.23023160341563e-96,-0.590101868505845,0.179,0.537,6.16971270768899e-92,"Neuronal","SMED30011818"
"SMED30018527",7.1069466258348e-96,0.903612699352202,0.139,0.022,1.96606571457094e-91,"Neuronal","SMED30018527"
"SMED30020450",1.46467801866747e-95,0.681628399103163,0.117,0.014,4.05188527084168e-91,"Neuronal","SMED30020450"
"SMED30017135.4",2.50365028919549e-95,-0.773718715629544,0.286,0.628,6.92609816003039e-91,"Neuronal","SMED30017135"
"SMED30002547.4",2.88688107596274e-95,-1.06983793065736,0.022,0.279,7.98626780854332e-91,"Neuronal","SMED30002547"
"SMED30012735.4",2.98490122410523e-95,-0.786232864872135,0.03,0.295,8.25743074636472e-91,"Neuronal","SMED30012735"
"SMED30016578",3.89015774654808e-95,0.745596958324388,0.105,0.011,1.07617323900506e-90,"Neuronal","SMED30016578"
"SMED30019468.2",4.81955377564234e-95,-0.584475767404052,0.111,0.433,1.3332813564937e-90,"Neuronal","SMED30019468"
"SMED30033600.4",6.43538129784733e-95,-0.894210794838284,0.038,0.303,1.78028388223649e-90,"Neuronal","SMED30033600"
"SMED30028164.1",7.33495151663831e-95,0.8056123158667,0.2,0.049,2.02914098756282e-90,"Neuronal","SMED30028164"
"SMED30013833.2",8.41583987194828e-95,-0.602936625989617,0.241,0.62,2.32815794217577e-90,"Neuronal","SMED30013833"
"SMED30011238",9.69342026570876e-95,0.910377721802264,0.134,0.021,2.68158778230567e-90,"Neuronal","SMED30011238"
"SMED30014394.4",1.87273703851675e-94,-0.808293930805803,0.038,0.302,5.18073974335273e-90,"Neuronal","SMED30014394"
"SMED30009119.2",3.59578579613797e-94,-0.572573041510564,0.213,0.589,9.94738182643607e-90,"Neuronal","SMED30009119"
"SMED30010227.4",6.8440473181784e-94,-0.691762219233045,0.421,0.747,1.89333725010087e-89,"Neuronal","SMED30010227"
"SMED30008984.2",7.33459707576623e-94,-0.634658148594377,0.181,0.527,2.02904293503997e-89,"Neuronal","SMED30008984"
