"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30017945.2",8.27475095636188e-77,0.45398623084413,0.944,0.841,2.28912710456795e-72,"AP-6","SMED30017945"
"SMED30011604",2.85980233183296e-76,0.374455295273678,0.941,0.833,7.91135717078271e-72,"AP-6","SMED30011604"
"SMED30004176",4.24648041379169e-76,0.357697441331426,0.74,0.512,1.17474634167133e-71,"AP-6","SMED30004176"
"SMED30031715.2",1.02602177322233e-75,0.406204331414654,0.85,0.679,2.83838663344226e-71,"AP-6","SMED30031715"
"SMED30027542.4",1.0451411053596e-75,0.393968816550265,0.908,0.741,2.89127835386679e-71,"AP-6","SMED30027542"
"SMED30005936.4",2.98269464919431e-75,0.642881038602073,0.802,0.616,8.25132647753114e-71,"AP-6","SMED30005936"
"SMED30006180.4",3.23753639124503e-75,0.503554712795996,0.927,0.809,8.95632067274025e-71,"AP-6","SMED30006180"
"SMED30033282.2",2.43175250362868e-74,0.28643219374188,0.707,0.454,6.72720012603838e-70,"AP-6","SMED30033282"
"SMED30005322.3",5.08723780443334e-74,0.394877812484464,0.79,0.555,1.40733346621844e-69,"AP-6","SMED30005322"
"SMED30008578.3",1.37664862593855e-73,0.420072843209765,0.75,0.544,3.80836075879641e-69,"AP-6","SMED30008578"
"SMED30004708.1",1.71121456941313e-73,0.278477409211722,0.766,0.519,4.7339039848245e-69,"AP-6","SMED30004708"
"SMED30034531.3",2.42515131046565e-73,0.500781649325793,0.901,0.787,6.70893858527217e-69,"AP-6","SMED30034531"
"SMED30019103.1",2.64937821246692e-73,0.304340062071065,0.759,0.547,7.32923988696848e-69,"AP-6","SMED30019103"
"SMED30006095.3",5.78513266751704e-73,0.345401919860034,0.952,0.87,1.60039910114191e-68,"AP-6","SMED30006095"
"SMED30004487.3",1.9798291131211e-72,0.407094963690117,0.808,0.622,5.47699925853822e-68,"AP-6","SMED30004487"
"SMED30002983.4",3.10640210308512e-72,0.478743422305909,0.932,0.799,8.59355077797468e-68,"AP-6","SMED30002983"
"SMED30034190.4",6.09641117268004e-72,0.31652318854524,0.576,0.331,1.68651118681021e-67,"AP-6","SMED30034190"
"SMED30025925.4",2.30756705265579e-71,0.710033491968051,0.943,0.836,6.38365349446697e-67,"AP-6","SMED30025925"
"SMED30015470.4",2.33033130626845e-71,0.374904438527431,0.919,0.786,6.44662852566105e-67,"AP-6","SMED30015470"
"SMED30012889.1",6.30609946892123e-70,0.352940966219344,0.953,0.867,1.74451935708237e-65,"AP-6","SMED30012889"
"SMED30012974",8.58014421840385e-70,0.272041725842921,0.99,0.94,2.37361109657924e-65,"AP-6","SMED30012974"
"SMED30026043",1.27633336761123e-68,0.266552045948705,0.875,0.716,3.53084862815971e-64,"AP-6","SMED30026043"
"SMED30006311.4",1.32817496383269e-68,0.514147179236885,0.975,0.897,3.67426321994674e-64,"AP-6","SMED30006311"
"SMED30013138",3.24616840177975e-67,0.259558882863933,0.649,0.399,8.98020026668351e-63,"AP-6","SMED30013138"
