"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30016080.1",6.12548307814089e-34,-0.670812286170723,0.903,0.94,1.6945536387369e-29,"AP-3","SMED30016080"
"SMED30009749.1",8.33477647435011e-34,-0.677173616900458,0.847,0.915,2.30573256386421e-29,"AP-3","SMED30009749"
"SMED30013537.1",1.1713584260907e-33,-0.627649162122632,0.318,0.496,3.24044594993732e-29,"AP-3","SMED30013537"
"SMED30029097.1",2.68856132666366e-33,-0.780277452346831,0.068,0.233,7.43763605408235e-29,"AP-3","SMED30029097"
"SMED30011356.1",4.88924728794648e-33,-0.321791975990012,0.018,0.167,1.35256136973751e-28,"AP-3","SMED30011356"
"SMED30034614.1",5.20927477477814e-33,-0.574958654020188,0.311,0.499,1.44109377369462e-28,"AP-3","SMED30034614"
"SMED30026663.1",2.40741792309719e-32,-0.657090813233293,0.869,0.933,6.65988094245607e-28,"AP-3","SMED30026663"
"SMED30028503.1",4.78318255723385e-32,-0.506723629111077,0.125,0.298,1.32321962263317e-27,"AP-3","SMED30028503"
"SMED30012386.1",6.23541032054371e-32,-0.33274878451599,0.847,0.927,1.72496391107521e-27,"AP-3","SMED30012386"
"SMED30000378",6.48270381715457e-32,-0.466651151756288,0.795,0.864,1.79337518397764e-27,"AP-3","SMED30000378"
"SMED30025454",7.90473300595808e-32,-0.591995885169458,0.505,0.68,2.18676533876824e-27,"AP-3","SMED30025454"
"SMED30025388",1.00454817900164e-31,-1.23986064059307,0.84,0.905,2.77898208239013e-27,"AP-3","SMED30025388"
"SMED30010171",2.12239945293657e-31,-0.28821395544094,0.874,0.937,5.87140584660372e-27,"AP-3","SMED30010171"
"SMED30014765",2.43007864181548e-31,-0.254921795066414,0.185,0.373,6.72256955471834e-27,"AP-3","SMED30014765"
"SMED30011431.1",2.91342244754712e-31,-0.271481391863315,0.022,0.165,8.05969185889434e-27,"AP-3","SMED30011431"
"SMED30006480",4.51465413427386e-31,-0.276145925161785,0.014,0.152,1.24893391970552e-26,"AP-3","SMED30006480"
