"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30002175",2.05811313659311e-270,1.73095103762548,0.469,0.055,5.69356418107119e-266,"AP-2","SMED30002175"
"SMED30012395",4.30772394359403e-213,0.898944098394191,0.648,0.15,1.19168875175585e-208,"AP-2","SMED30012395"
"SMED30029487",8.11991514062635e-202,0.890352630296665,0.63,0.145,2.24629332450287e-197,"AP-2","SMED30029487"
"SMED30014191",1.32123894496656e-190,0.906930626102184,0.504,0.094,3.65507541735548e-186,"AP-2","SMED30014191"
"SMED30002272",1.02198394574537e-187,0.294410195536957,0.173,0.008,2.82721638750999e-183,"AP-2","SMED30002272"
"SMED30021982",1.38272564011768e-182,0.814697050980809,0.537,0.111,3.82517221082155e-178,"AP-2","SMED30021982"
"SMED30002969",1.78853599187196e-175,0.801417738504051,0.391,0.059,4.94780596791459e-171,"AP-2","SMED30002969"
"SMED30027240",4.46044449254822e-158,0.274025832584512,0.111,0.003,1.23393736441854e-153,"AP-2","SMED30027240"
"SMED30034460",4.59340121025601e-151,0.933396144403479,0.165,0.01,1.27071851080522e-146,"AP-2","SMED30034460"
"SMED30001387",2.09705752471024e-145,0.628528456522372,0.214,0.02,5.8012999363584e-141,"AP-2","SMED30001387"
"SMED30017545",1.93733924693726e-142,1.82035606179573,0.609,0.178,5.35945529272725e-138,"AP-2","SMED30017545"
"SMED30027886",6.75284508408099e-135,2.722825725487,0.578,0.182,1.86810706406017e-130,"AP-2","SMED30027886"
"SMED30010847",3.53456804291917e-134,0.495982509107382,0.34,0.057,9.77802903393158e-130,"AP-2","SMED30010847"
"SMED30003863",4.65352966548064e-130,1.58270754860395,0.949,0.77,1.28735244665857e-125,"AP-2","SMED30003863"
"SMED30019744",6.50966673856966e-126,0.642324716172981,0.329,0.058,1.80083420655791e-121,"AP-2","SMED30019744"
"SMED30004716",4.03780308450901e-117,0.281779423713411,0.224,0.027,1.11701784529857e-112,"AP-2","SMED30004716"
"SMED30003733",8.11133076615187e-115,0.801407583560503,0.393,0.089,2.24391854314825e-110,"AP-2","SMED30003733"
"SMED30023518",3.77680994542411e-111,0.393188849987129,0.3,0.053,1.04481670330213e-106,"AP-2","SMED30023518"
"SMED30016281",5.56368190060174e-109,1.2390170771546,0.988,0.913,1.53913696098247e-104,"AP-2","SMED30016281"
"SMED30019357",8.85127316320249e-109,-4.05180878884325,0.942,0.976,2.44861620786834e-104,"AP-2","SMED30019357"
"SMED30017852",5.14505286099086e-108,0.273111117556484,0.195,0.022,1.42332742346451e-103,"AP-2","SMED30017852"
"SMED30034381",4.70140044761317e-107,0.717032474392443,0.998,0.972,1.30059541982771e-102,"AP-2","SMED30034381"
"SMED30007501",5.1354331988093e-101,-2.51107317360035,0.848,0.926,1.4206662401186e-96,"AP-2","SMED30007501"
"SMED30035218",2.5513316467937e-99,1.09027676993107,0.938,0.703,7.05800386769009e-95,"AP-2","SMED30035218"
"SMED30018781",3.71832791566805e-97,1.37685448384265,0.574,0.204,1.02863823459041e-92,"AP-2","SMED30018781"
"SMED30028104",3.90662532591522e-96,0.456506828550373,0.481,0.14,1.08072883016119e-91,"AP-2","SMED30028104"
"SMED30007889",2.09484831063109e-95,1.21397836549573,0.848,0.55,5.79518836652985e-91,"AP-2","SMED30007889"
"SMED30006524",2.47727329270376e-94,1.28506589892157,0.819,0.536,6.85312883693567e-90,"AP-2","SMED30006524"
"SMED30005188",2.50063291684368e-94,-3.58990004246773,0.813,0.919,6.91775090115636e-90,"AP-2","SMED30005188"
"SMED30008553",8.65842354063725e-94,0.685035686325476,1,0.986,2.39526628828189e-89,"AP-2","SMED30008553"
"SMED30025299",4.31283811834378e-93,0.818267814149712,0.521,0.187,1.19310353705862e-88,"AP-2","SMED30025299"
"SMED30004922",3.72982878105409e-92,-3.66181366112411,0.969,0.98,1.0318198339908e-87,"AP-2","SMED30004922"
"SMED30013107",7.67181126643664e-92,0.545402259604628,1,0.993,2.12232986874703e-87,"AP-2","SMED30013107"
"SMED30009090",2.86743423080968e-91,0.425467157050228,0.267,0.051,7.93247005611191e-87,"AP-2","SMED30009090"
"SMED30004654",1.95752978447138e-90,0.741552629526132,0.957,0.824,5.41531039576162e-86,"AP-2","SMED30004654"
"SMED30004098",1.84312328200485e-88,0.417123956974057,0.337,0.079,5.09881624733823e-84,"AP-2","SMED30004098"
"SMED30026425",6.45147886561805e-86,0.360022228500251,0.136,0.013,1.78473711338458e-81,"AP-2","SMED30026425"
"SMED30022815",7.29577770692104e-86,0.560631207803206,0.247,0.046,2.01830394484264e-81,"AP-2","SMED30022815"
"SMED30033630",2.51311958119291e-85,-1.22731559293687,0.463,0.796,6.95229400941207e-81,"AP-2","SMED30033630"
"SMED30009438",1.74835661331687e-83,0.464949710082818,0.267,0.054,4.8366537350798e-79,"AP-2","SMED30009438"
"SMED30011533",3.91911382026757e-83,0.700351614181234,0.346,0.088,1.08418364723882e-78,"AP-2","SMED30011533"
"SMED30019619",1.29992887960027e-81,1.12248976051026,0.22,0.037,3.59612325252617e-77,"AP-2","SMED30019619"
"SMED30019930",1.65244160921853e-81,-3.20972696836499,0.772,0.883,4.57131446774215e-77,"AP-2","SMED30019930"
"SMED30001449",2.45430274753534e-81,0.633509103790879,0.981,0.918,6.78958312078176e-77,"AP-2","SMED30001449"
"SMED30011420",8.87718043993133e-80,0.301134297219397,0.27,0.057,2.4557831969026e-75,"AP-2","SMED30011420"
"SMED30032659",1.83119297178361e-79,0.704938254575522,0.642,0.314,5.06581223714217e-75,"AP-2","SMED30032659"
"SMED30017845",2.23535535832772e-79,-0.75700567509199,0.887,0.946,6.18388706327782e-75,"AP-2","SMED30017845"
"SMED30022905",3.77116024247128e-79,1.45724239109011,0.652,0.346,1.04325376947726e-74,"AP-2","SMED30022905"
"SMED30012075",2.12576946109626e-78,0.858841239687807,0.99,0.965,5.88072863717668e-74,"AP-2","SMED30012075"
"SMED30027848",4.30825215433508e-78,0.900126452665723,0.35,0.092,1.19183487597526e-73,"AP-2","SMED30027848"
"SMED30008266",4.70025322786183e-78,0.638712973983888,0.553,0.222,1.3002780529557e-73,"AP-2","SMED30008266"
"SMED30007424",5.23346976969367e-77,0.394827663617755,0.321,0.084,1.44778707708806e-72,"AP-2","SMED30007424"
"SMED30031572",5.31239519982821e-77,-3.04503823598211,0.735,0.871,1.46962100808048e-72,"AP-2","SMED30031572"
"SMED30021266",6.23013425408221e-77,0.468041018281509,0.475,0.167,1.7235043400493e-72,"AP-2","SMED30021266"
"SMED30032076",9.61238078746919e-77,0.442481758812705,0.393,0.121,2.65916902104548e-72,"AP-2","SMED30032076"
"SMED30002195",2.33498908886348e-76,-2.99491202681765,0.317,0.672,6.45951381543194e-72,"AP-2","SMED30002195"
"SMED30010458",2.53075079598559e-75,0.819527346976421,0.562,0.255,7.00106900201454e-71,"AP-2","SMED30010458"
"SMED30007813",5.98985353531058e-75,-3.36799570330724,0.626,0.813,1.65703308200832e-70,"AP-2","SMED30007813"
"SMED30013499",2.09195193257484e-74,0.450751982634527,0.243,0.05,5.78717582627505e-70,"AP-2","SMED30013499"
"SMED30025639",2.20259388002059e-74,0.42176135885463,0.496,0.186,6.09325570968897e-70,"AP-2","SMED30025639"
"SMED30027307",3.95270693818218e-74,0.955759643715724,0.891,0.665,1.09347684737872e-69,"AP-2","SMED30027307"
"SMED30035317",9.77694446446744e-74,0.644392302470593,0.944,0.846,2.70469391665027e-69,"AP-2","SMED30035317"
"SMED30021279",1.56276688574278e-73,0.881306661926302,0.379,0.118,4.32323831271884e-69,"AP-2","SMED30021279"
"SMED30019680",2.61452678339149e-73,-3.21923916988789,0.778,0.879,7.23282689357423e-69,"AP-2","SMED30019680"
"SMED30030594",1.51164453240177e-72,0.49293684530914,0.218,0.041,4.18181343443627e-68,"AP-2","SMED30030594"
"SMED30008655",2.37632150443145e-72,0.936353716861371,0.944,0.738,6.57385580985918e-68,"AP-2","SMED30008655"
"SMED30012371",6.92270784094829e-72,1.04554097261114,0.691,0.348,1.91509789711993e-67,"AP-2","SMED30012371"
"SMED30035360",1.30539572058981e-71,0.642208402068572,0.998,0.989,3.61124672143964e-67,"AP-2","SMED30035360"
"SMED30029370",3.50004617400517e-71,0.649976980008037,0.951,0.864,9.6825277357679e-67,"AP-2","SMED30029370"
"SMED30021467",4.89093499850348e-71,0.661723897663172,0.936,0.807,1.353028257986e-66,"AP-2","SMED30021467"
"SMED30021014",5.62822117010154e-71,0.271218775654207,0.214,0.041,1.55699110449689e-66,"AP-2","SMED30021014"
"SMED30003562",8.49445856337343e-71,1.10695518801288,0.926,0.744,2.34990701697163e-66,"AP-2","SMED30003562"
"SMED30001142",1.26662103141854e-70,0.603327493315915,0.401,0.134,3.50398042131626e-66,"AP-2","SMED30001142"
"SMED30013408",6.21538667333128e-70,0.754625843951634,0.844,0.575,1.71942456931036e-65,"AP-2","SMED30013408"
"SMED30009172",2.67720313198054e-69,0.572479408567587,0.329,0.094,7.40621474431098e-65,"AP-2","SMED30009172"
"SMED30016952",4.12013212429678e-69,0.414753344016983,0.35,0.105,1.13979335086546e-64,"AP-2","SMED30016952"
"SMED30033452",6.05796453536243e-69,-2.66509166108329,0.282,0.625,1.67587530906266e-64,"AP-2","SMED30033452"
"SMED30027268",1.15545915954383e-68,1.05639895133958,0.726,0.458,3.19646221896206e-64,"AP-2","SMED30027268"
"SMED30009301",4.87852618502771e-68,0.787969300167794,0.409,0.142,1.34959548382607e-63,"AP-2","SMED30009301"
"SMED30022790",9.32524396094792e-68,0.745780751457746,0.739,0.434,2.57973548935663e-63,"AP-2","SMED30022790"
"SMED30031468",1.95216788484693e-67,0.536150962307682,0.969,0.874,5.40047723664055e-63,"AP-2","SMED30031468"
"SMED30004472",2.1585006480921e-67,0.712877591285776,0.965,0.896,5.971276192882e-63,"AP-2","SMED30004472"
"SMED30013480",3.91842595090983e-67,0.839488359788181,0.815,0.607,1.0839933550597e-62,"AP-2","SMED30013480"
"SMED30017762",1.01359018046971e-66,-0.788526346171879,0.488,0.808,2.80399587525141e-62,"AP-2","SMED30017762"
"SMED30013673",1.90668411973549e-66,-1.99301680387705,0.525,0.772,5.27465094883626e-62,"AP-2","SMED30013673"
"SMED30000428",2.39364909783973e-66,1.40646023778054,0.879,0.713,6.62179086426382e-62,"AP-2","SMED30000428"
"SMED30000746",4.84010961285859e-66,1.6412863663602,0.632,0.306,1.3389679233012e-61,"AP-2","SMED30000746"
"SMED30030310",6.05182818935229e-66,0.543453237052106,0.829,0.564,1.67417775030242e-61,"AP-2","SMED30030310"
"SMED30020058",1.17908388702607e-65,0.873405456673269,0.986,0.866,3.26181766506891e-61,"AP-2","SMED30020058"
"SMED30024106",1.3198072209507e-65,0.459682339297157,0.994,0.971,3.65111469603801e-61,"AP-2","SMED30024106"
"SMED30017045",1.52850563688739e-65,-1.86294039124162,0.212,0.581,4.22845799388527e-61,"AP-2","SMED30017045"
"SMED30012386",1.76000031884859e-65,0.623830036076517,0.942,0.864,4.86886488206275e-61,"AP-2","SMED30012386"
"SMED30000901",2.2649852338068e-65,0.388390393914368,0.998,0.984,6.26585515080313e-61,"AP-2","SMED30000901"
"SMED30012544",3.99891145083168e-65,-2.62158875621864,0.444,0.706,1.10625886375807e-60,"AP-2","SMED30012544"
"SMED30027688",5.06943517264256e-65,0.32308741770335,0.265,0.066,1.40240854615984e-60,"AP-2","SMED30027688"
"SMED30007876",1.48412021597146e-64,0.76651053857028,0.891,0.658,4.10567016546345e-60,"AP-2","SMED30007876"
"SMED30028040",7.86361308659727e-64,0.896517397748121,0.934,0.77,2.17538992427627e-59,"AP-2","SMED30028040"
"SMED30027945",1.0352484586443e-63,0.487468941579276,0.333,0.103,2.86391133599359e-59,"AP-2","SMED30027945"
"SMED30015413",1.08384025993786e-63,0.772507134517658,0.957,0.85,2.9983356950921e-59,"AP-2","SMED30015413"
"SMED30015470",1.51320643389468e-63,0.980090918093848,0.924,0.767,4.18613427872625e-59,"AP-2","SMED30015470"
"SMED30020396",1.85282251901116e-63,1.21559214990878,0.856,0.562,5.12564821659248e-59,"AP-2","SMED30020396"
"SMED30034983",3.20374488290049e-63,1.22119540600574,0.516,0.222,8.86283984405592e-59,"AP-2","SMED30034983"
"SMED30001807",4.00786922370829e-63,0.677049780137013,0.986,0.909,1.10873694204666e-58,"AP-2","SMED30001807"
"SMED30035878",1.33233203897645e-62,0.993315304222612,0.912,0.774,3.68576335262444e-58,"AP-2","SMED30035878"
"SMED30025067",1.5304085723786e-62,0.608224992012536,0.986,0.946,4.23372227462815e-58,"AP-2","SMED30025067"
"SMED30031625",1.69189278375537e-62,1.08600881687073,0.899,0.748,4.68045219698087e-58,"AP-2","SMED30031625"
"SMED30014194",2.14901984899544e-62,1.10668712556286,0.49,0.213,5.94504851026097e-58,"AP-2","SMED30014194"
"SMED30019899",2.26215184307762e-62,0.611875666661828,0.648,0.365,6.25801685868993e-58,"AP-2","SMED30019899"
"SMED30035904",2.54696290696193e-62,1.33022902955003,0.844,0.57,7.04591818581948e-58,"AP-2","SMED30035904"
"SMED30002330",2.75065326349722e-62,0.301083779807489,0.667,0.319,7.60940718813872e-58,"AP-2","SMED30002330"
"SMED30004938",3.74434403137919e-62,0.255308713024246,0.284,0.076,1.03583533284074e-57,"AP-2","SMED30004938"
"SMED30028513",4.90043414832169e-62,0.403012479661454,1,0.99,1.35565610279171e-57,"AP-2","SMED30028513"
"SMED30009076",5.36759796454712e-62,0.669881998655926,1,0.996,1.48489230091232e-57,"AP-2","SMED30009076"
"SMED30018643",7.68522410216697e-62,1.08786282243466,0.916,0.771,2.12604039562347e-57,"AP-2","SMED30018643"
"SMED30017639",1.03372256575502e-61,-2.10319585920242,0.885,0.934,2.85969010590469e-57,"AP-2","SMED30017639"
